serial number,Company Name,Segment,Contact Number,email id
126,Globe Industries,Mechanical/Production,,info@globeindia.in
127,Gradezone Techno Solutions Pvt. Ltd.,Mechanical/Production,,info@gradezone.in
128,Gxpro Solutions Pvt. Ltd.,,,
129,Hamilton Medical India Pvt. Ltd.,Mechanical/Production,,abhishek.m@mv-india.com
130,Horiba India Pvt. Ltd.,Mechanical/Production,11 4646 5020,info@buyhoribasolutions.com
131,Huzhou Zhongrui Cleaning Technology Co. Ltd. (China),Mechanical/Production,86‑189‑1632‑0083,eric@zrtube.com
132,HVAX Technologies Limited,Mechanical/Production,49725039,compliance@hvax.in
133,Hydropure Systems Pvt. Ltd.,Mechanical/Production,22 2897 8725,info@hydropure.in
134,Indo Climatecare Pvt. Ltd.,Mechanical/Production,79 2646 6952,info@indoclimatecare.com
135,Industrial Boilers Limited,Mechanical/Production,22 2807 0500, info@industrialboilers.com
136,Infozen India Enterprise,Mechanical/Production,99241 08843,contact@infozen.co
137,Innovus Cleanroom Technologies,Mechanical/Production,93275 92055,info@innovuscleanroom.com
138,Integrated Cooling Solutions Pvt. Ltd.,Mechanical/Production,88263 52597,sales@icsengg.in
139,ISOSAAN Containment Solution Pvt. Ltd.,Mechanical/Production,90048 38444,saanengineers@saanengineers.com
140,JD Pharma Consultants Pvt. Ltd.,Mechanical/Production,731 404 3825,info@jdpharmaconsultants.co.in
141,Jetspray Innovations Pvt. Ltd.,Mechanical/Production,,
142,JP Engineering,Mechanical/Production,,
143,June Enterprises Pvt. Ltd.,Mechanical/Production,,
144,Jyoti Mechanical Industries,Mechanical/Production,,
145,KDN Cooling Tower,Mechanical/Production,,
146,Ketav Consultant,Mechanical/Production,,
147,Lab And Life Instruments Pvt. Ltd.,Mechanical/Production,,
148,Lab Services & Solution Pvt. Ltd.,Mechanical/Production,,
149,Lotus Technicals Pvt. Ltd.,Mechanical/Production,,
150,Lucky Deep Cleanroom Pvt. Ltd.,Mechanical/Production,,
151,Malati,Mechanical/Production,,
152,Malhari Projects Pvt. Ltd.,Mechanical/Production,,
153,Mechmaark Filtech India Pvt. Ltd.,Mechanical/Production,,
154,Meshayu Consultants Pvt. Ltd.,Mechanical/Production,,
155,Multi Enterprise,Mechanical/Production,,
156,Navdurga Engineers,Mechanical/Production,,
157,Nicomac Taikisha Clean Rooms Pvt. Ltd.,Mechanical/Production,,
158,NIJ Solution,Mechanical/Production,,
159,Omkar Electricals,Mechanical/Production,,
160,Optic Liting Pvt. Ltd.,Mechanical/Production,,
161,P.U.S.H. Enterprises,Mechanical/Production,,
162,Pacifab Technologies LLP,Mechanical/Production,,
163,Pharma Spray Solutions Pvt. Ltd.,Mechanical/Production,,
164,Pharmagate Solutions Pvt. Ltd.,Mechanical/Production,,
165,Polmon Instruments Pvt. Ltd. (Polmon Group),Mechanical/Production,,
166,Powertronics Control System Pvt. Ltd.,Mechanical/Production,,
167,Prime Care Technology Pvt. Ltd.,Mechanical/Production,,
168,Procon Technologies Pvt. Ltd.,Mechanical/Production,,
169,Progressive Chromatography,Mechanical/Production,,
170,Propack Technologies Pvt. Ltd.,Mechanical/Production,,
171,Pushti Crates & Bins,Mechanical/Production,,
172,PV Corporation,Mechanical/Production,,
173,RackUp Systems Pvt. Ltd.,Mechanical/Production,,
174,Radiant Enterprise,Mechanical/Production,,
175,Raystek Process Instruments LLP,Mechanical/Production,,
176,Rivitech International,Mechanical/Production,,
177,S.V. Scientific Pvt. Ltd.,Mechanical/Production,,
178,SBRG Clean Tech Pvt. Ltd.,Mechanical/Production,,
179,SCP Cold Pvt. Ltd.,Mechanical/Production,,
180,Shah Sealtech Pvt. Ltd.,Mechanical/Production,,
181,Sharp Packaging Machines,Mechanical/Production,,
182,Sharp Process Equipments,Mechanical/Production,,
183,Sheel Overseas,Mechanical/Production,,
184,Skai Air Control Pvt. Ltd.,Mechanical/Production,,
185,Sky Remedies,Mechanical/Production,,
186,Sohamtex Engineers,Mechanical/Production,,
187,Sotax India Pvt. Ltd.,Mechanical/Production,,
188,Spear Pack Pvt. Ltd.,Mechanical/Production,,
189,Spectrum Filtration Pvt. Ltd.,Mechanical/Production,,
,IT/CE Companies,,,
191,Square life Technologies LLP,IT/Computer Engineering,6357148481,sales@squaretechnologies.in
192,Super Scientific Works Pvt. Ltd.,IT/Computer Engineering,9879204809,sales@superscientific.com
193,Systemair India Pvt. Ltd.,IT/Computer Engineering,7674889007,mailbox@systemair.in
194,Ultrafil Air Systems (1) Pvt. Ltd.,IT/Computer Engineering,9177631526,"info@ultrafil.net,"
195,Unitech Systems,IT/Computer Engineering,8045814751,info@unitechsystem.in
196,Veer Industries Surat,IT/Computer Engineering,9913355008,mkt01@veerindia.co.in
197,VidyaGxP Pvt. Ltd.,IT/Computer Engineering,7354654474,info@vidyagxp.com
198,Vinayak Pharma Technology,IT/Computer Engineering,9979099501,Info@vinayakpharmatechnology.com
199,VK Clean Rooms,IT/Computer Engineering,8048987665,
200,X-Rite India Pvt. Ltd.,IT/Computer Engineering,9841818179,JeffreyMcKee@xrite.com
201,Yessor Techs,IT/Computer Engineering,7760879816,ria@yessor.com
202,Aavad Instrument Pvt. Ltd.,IT/Computer Engineering,9099622833,aag@aavadinstrument.com
203,Accunova Engineering Pvt. Ltd.,IT/Computer Engineering,9081813490,info@accunova.in
204,AeroOptimus Innovations Pvt. Ltd.,IT/Computer Engineering,9501316889,
205,Air Energy,IT/Computer Engineering,(508)230.9445,
206,Ambetronics Engineers Pvt. Ltd.,IT/Computer Engineering,9320737646,sales8@ambetronics.com
207,Ambica Industries,IT/Computer Engineering,7940394785,ambicaworld@gmail.com
208,Amey Marketing,IT/Computer Engineering,7925622434,
209,Apurva Water Management Systems,IT/Computer Engineering,8046046013,
210,Apurva Water Management Systems Pvt. Ltd.,IT/Computer Engineering,8046046013,
211,Aquamech Engineering Corporation,IT/Computer Engineering,9833318254,marketing@aquamech.co.in
212,Aquatics Water Solutionss LLP,IT/Computer Engineering,7926651002,accounts@aquaticsindia.com
213,Aronec FinWise Pvt. Ltd.,IT/Computer Engineering,2269231222,aronecfinwise@gmail.com
214,Astar Insulation Pvt. Ltd.,IT/Computer Engineering,8018039693,hr@astarinsulation.com
215,AUM Industries,IT/Computer Engineering,9898565705,contact@aumindustries.co.in
216,Balas Office Furniture,IT/Computer Engineering,9825197937,spaceplan@balas.in
217,Collabtec Design Build Pvt. Ltd.,IT/Computer Engineering,8104585903,mkt1@collabtecdb.com
218,Columbus Cleaning Machines Pvt. Ltd.,IT/Computer Engineering,7888077011,info@columbus-clean.in
219,Contec Airflow Projects Pvt. Ltd.,IT/Computer Engineering,2228598231,
220,Control Print Limited,IT/Computer Engineering,2228599065,
221,COPA-DATA India Pvt. Ltd.,IT/Computer Engineering,2065296369,sales@cdin.in
222,Craft Tech Automation,IT/Computer Engineering,8048610101,
223,D. K. Scientific Technologies,IT/Computer Engineering,8043835410,
224,DPC Developer's Pvt. Ltd.,IT/Computer Engineering,,
225,EEPC India,IT/Computer Engineering,(11)23353353,
226,Endress+Hauser India Pvt. Ltd.,IT/Computer Engineering,617157700,megha.bhutani@endress.com
227,Futuretech Bizsoft LLP,IT/Computer Engineering,9033017301,
228,Global Vision (Pharma Machines & Technologies),IT/Computer Engineering,4448679435,
229,Goel Power Engineers LLP,IT/Computer Engineering,9699658469,info@goelpower.in
230,H One Global Technology Pvt. Ltd.,IT/Computer Engineering,9975460457,info@honeglobaltechnology.com
231,Indoyug Power Solution,IT/Computer Engineering,8044566912,
232,Inner Engineering Products & Systems Pvt. Ltd.,IT/Computer Engineering,18005727963,
233,Innova Systems,IT/Computer Engineering,9825505344,
234,J. S. Control,IT/Computer Engineering,8793001058,
235,JASCO Biotech System,IT/Computer Engineering,9459079599,jascobiotech@yahoo.com
236,Jupiter Integrated Sensor Systems Pvt. Ltd.,IT/Computer Engineering,8045478718,
237,Kalindi Machineries Pvt. Ltd.,IT/Computer Engineering,9425059249,
238,Knacon Engineering,IT/Computer Engineering,7976447382,
239,Labtech Systems Pvt. Ltd.,IT/Computer Engineering, 98253 17702,
240,Labtop instruments Pvt. Ltd.,IT/Computer Engineering,84460 53761,
241,Lattice Enterprise,IT/Computer Engineering,,
242,Life Thread LLP,IT/Computer Engineering,1800-419-9661,
243,Linc Digital Systems Pvt. Ltd.,IT/Computer Engineering,79 2688 3000,acservices@lincdigital.com
244,Mahashakti Pharmamach,IT/Computer Engineering, 98988 50120,
245,Matrix Comsec Pvt. Ltd.,IT/Computer Engineering, 99987 55555,Support@MatrixComSec.com
246,Mecord Systems and Services Pvt. Ltd.,IT/Computer Engineering, 80 3726 6888,accounts@mecord.com
247,Microvise Solutions,IT/Computer Engineering, 77780 92462,info@microviseindia.com
248,N.K. Industries,IT/Computer Engineering,79-66309999,nkindustries1000@gmail.com
249,Network INC,IT/Computer Engineering,98331 02077,
250,Newtech Modular Solutions,IT/Computer Engineering,81408 14449,
251,Parshvi Technology (India) Pvt. Ltd.,IT/Computer Engineering,81287 05212,info@parshvitechnology.com
252,Parth Engineers & Consultant,IT/Computer Engineering,99099 93613,info@parthec.com
253,Parth Products,IT/Computer Engineering,80 4580 1289,parthproduct@gmail.com
254,Perfect House Pvt. Ltd.,IT/Computer Engineering,22 6261 1900,name@perfecthouseltd.com
,Electrical/Electronics Companies,,,
256,Pinnacle Therapeutics Pvt. Ltd.,Electrical/Electronics, 97250 02284,ashikthakor@pinnaclesterilization.com
257,Power Build Pvt. Ltd.,Electrical/Electronics, 97277 19344,infopbl@powerbuild.in
258,Power Heat Electricals,Electrical/Electronics, 89804 76636,powerheat@gmail.com
259,Prince Pipes And Fittings Limited,Electrical/Electronics, 1800 267 7555   ,info@princepipes.com
260,"Probiz Erp Solutions
",Electrical/Electronics," 91111 00862
",info@probiztechnologies.com
261,Radhe Enterprise (REJET),Electrical/Electronics,8048213338,info@rejettech.com
262,Rayrhythms industries Pvt. Ltd.,Electrical/Electronics,98250 73200,rakesh@rayrhythms.com
263,Resolve Biotech Pvt. Ltd.,Electrical/Electronics,22.6689.2400,sales@resolvebiotech.com
264,Rivm's Clean Air India Pvt. Ltd.,Electrical/Electronics,83693 24190,mayurbadge@gmail.com
265,Royal Express Logistics LLP,Electrical/Electronics,,biren@royalshipping.co.in
266,Scientific Research Instruments Company Pvt. Ltd. (SRICO),Electrical/Electronics,99006 74407,info@srico-labworld.com
267,Shree Polymers,Electrical/Electronics,90999 80898,sales@shreepolymer.co.in
268,Siddhi Filter Media,Electrical/Electronics,88794 21343,info@siddhifilter.in
269,Soham ERP Solutions Pvt. Ltd.,Electrical/Electronics,93282 12251,suketushah@sohamerp.com
270,Space Plus Design Labs Pvt. Ltd.,Electrical/Electronics,98110 17858,sales@spacedesignlabs.com
271,SSM InfoTech Solutions Pvt. Ltd.,Electrical/Electronics,99740 42150,mkt@ssm-infotech.com
272,St. Mary's Rubbers Pvt. Ltd.,Electrical/Electronics,20 2592 0005,nbulbule@testo.in
273,Sterling Green Power Solutions Pvt. Ltd.,Electrical/Electronics,22-2552 6100,corpcomm@sterlingwilson.com
274,Superlative Enterprises Pvt. Ltd.,Electrical/Electronics,99961 52456,info@superlativenterprises.com
275,SWE Technologies LLP,Electrical/Electronics,,
276,Synergy Mechanics Pvt. Ltd.,Electrical/Electronics,0251-2870699,office@synergymechanics.com
277,Technovalue Solutions Pvt. Ltd.,Electrical/Electronics,88793 0481,info@technovalue.in
278,Testo India Pvt. Ltd.,Electrical/Electronics,20 2592 0005,nbulbule@testo.in
279,Trom Industries Limited,Electrical/Electronics,79 2965 6678,info@tromindustries.com
280,Tulsium Clean Room Pvt. Ltd.,Electrical/Electronics,73837 20403,info@tulsiumcleanroom.com
281,Urwish Engineers Pvt. Ltd.,Electrical/Electronics,sss,contact@urwish.in
282,Veego Instruments Corpore,Electrical/Electronics,8048609656,
283,Xylem Water Solutions,Electrical/Electronics,2667 615800,"indiasales@xylem.com,"
284,4MA Valves Automation,Electrical/Electronics,87330 05449,enquiry@4mavalves.com
285,Alfa Pipes & Tubes,Electrical/Electronics,8 9292 6300,
286,Amco Metals,Electrical/Electronics,22 66362775,info@amcometals.com
287,Ani Engineers,Electrical/Electronics,02752-241479,anivarya@sancharnet.in
288,Armstrong Design Pvt. Ltd.,Electrical/Electronics,80-41281606,krramaswamy@armstrongfluidtechnology.com
289,Global Fluidtech Systems,Electrical/Electronics,,
290,Heatray Solar Pvt. Ltd.,Electrical/Electronics,84240 10203,info@heatraysolar.com
291,HIS Pumps And Systems Pvt. Ltd.,Electrical/Electronics,92278 99943,accounts@harshindustrial.com
292,Jasan Lasertech & Coatings Pvt. Ltd.,Electrical/Electronics,,ruturajthakare1995@gmail.com
293,Kamal Corporation,Electrical/Electronics,,mailto:legaldesk@kjsgroup.in
294,Kamal Metal Industries,Electrical/Electronics,9408225739,info@kmigroup.net
295,Ostech Fluid Technologies,Electrical/Electronics,95278 90446,info@ostechfluid.co.in
296,Parth Tech Compressor,Electrical/Electronics,98250 14048,parth_compressor@yahoo.com
297,Piab Vaccum Technology Pvt. Ltd.,Electrical/Electronics,89391 51169,: la.info@piab.com
298,Rahul Ferromet & Engineering Pvt. Ltd.,Electrical/Electronics,90045 66452,info@rahulferrometal.com
299,RBM Green Airfil,Electrical/Electronics,80458 16980,
300,Sanpure Systems Pvt. Ltd.,Electrical/Electronics,,info@sanpure.in
301,Sanyoi Technology India Pvt. Ltd.,Electrical/Electronics,22 69999 047,sales@sanyotechnologyindia.com
302,SHK Polymers Manufacturing Co.,Electrical/Electronics,97243 23586,"info@shreeharikrishna.net, marketing@shreeharikrishna.net"
303,Shri Maruti Precision Engineering Pvt. Ltd.,Electrical/Electronics,98258 42966,sumit.d@marutipump.com
,Civil/Environmental Companies,,,
305,Taha Pumps & Valves,Civil/Environmental,"98255 99415
98258 29875",info@tahapumps.com
306,Viral Enterprise,Civil/Environmental,9924352760,viralenterprise001@gmail.com
307,Zabs Engineers LLP,Civil/Environmental,70459 18955,info@zabsindia.com
308,Aadi Giri Pvt. Ltd.,Civil/Environmental,,info@aadigiri.com
309,Airpack Pvt. Ltd.,Civil/Environmental,9825523201,airpackindia@gmail.com
310,Akums Drugs And Pharmaceuticals Limited,Civil/Environmental,9999012080,enquiry@akums.net
311,Akums Healthcare Limited,Civil/Environmental,9999012080,enquiry@akums.net
312,Almed Equipment Pvt. Ltd.,Civil/Environmental,8045814905,
313,Ambica Plastomech LLP,Civil/Environmental,8128809787,info@ambicaplast.com
314,Anon Healthcare,Civil/Environmental,9067166212,
315,Aqmed Laboratories Pvt. Ltd.,Civil/Environmental,8045815027,technical@aqmed.in
316,Asoj Soft Caps Pvt. Ltd.,Civil/Environmental,9320688254, asojbaroda@gmail.com
317,Auroma Lifescience Pvt. Ltd.,Civil/Environmental,,aplusengitech@gmail.com
318,Avyukta Lifecare,Civil/Environmental,"95104 35319
79 2979 4041
76000 14481","info@avyuktalifecare.com
jay.thakkar@avyuktalifecare.com
kevin.jasani@avyuktalifecare.com"
319,Aykon Biosciences Pvt. Ltd.,Civil/Environmental,9978642229,info@aykon.in
320,Azine Healthcare Pvt. Ltd.,Civil/Environmental, 90990 33849,info@azinehealthcare.com
321,Banitha Consultancy,Civil/Environmental,7926583380/90, info@banthiaconsultancy.com
322,Best Polymers,Civil/Environmental,7942535297,
323,Bright Liquid Soap,Civil/Environmental,8048963410,
324,Captavis Biocare Pvt. Ltd.,Civil/Environmental,9638797977,info@captavis.com
325,Casablanka Corporation Gujarat,Civil/Environmental,972 447 8488,casablankacorp@gmail.com
326,Chronicle Pharmabiz - Saffron Media Pvt. Ltd.,Civil/Environmental,,
327,Crimson Print Pack Pvt. Ltd.,Civil/Environmental,,
328,CU-V-KAR Genetics Medicines Pvt. Ltd.,Civil/Environmental,,
329,Deepak Cybit Pvt. Ltd.,Civil/Environmental,,
330,Dinesh J. Shah & Associates,Civil/Environmental,,
331,Ecobliss India Pvt. Ltd.,Civil/Environmental,,
332,Emberlynn Exim LLP,Civil/Environmental,,
333,Federation of Indian Export Organisations (FIEO),Civil/Environmental,,
334,Flavaroma Flavours And Fragrances Pvt. Ltd.,Civil/Environmental,,
